Protein,ProteinName,Gene,nFragment,nPeptide,AgedMacro_Aging_Macro_10_1,AgedMacro_Aging_Macro_12_1,AgedMacro_Aging_Macro_14_1,AgedMacro_Aging_Macro_17_1,AgedMacro_Aging_Macro_25_1,AgedMacro_Aging_Macro_27_1,AgedMacro_Aging_Macro_31_1,AgedMacro_Aging_Macro_34_1,AgedMacro_Aging_Macro_38_1,AgedMacro_Aging_Macro_42_1,AgedMacro_Aging_Macro_45_1,AgedMacro_Aging_Macro_46_1,AgedMacro_Aging_Macro_53_1,AgedVehicle_Aging_Macro_11_1,AgedVehicle_Aging_Macro_16_1,AgedVehicle_Aging_Macro_18_1,AgedVehicle_Aging_Macro_23_1,AgedVehicle_Aging_Macro_26_1,AgedVehicle_Aging_Macro_29_1,AgedVehicle_Aging_Macro_33_1,AgedVehicle_Aging_Macro_37_1,AgedVehicle_Aging_Macro_54_1,Young_Aging_Macro_101_1,Young_Aging_Macro_102_1,Young_Aging_Macro_103_1,Young_Aging_Macro_104_1,Young_Aging_Macro_105_1,Young_Aging_Macro_106_1,Young_Aging_Macro_107_1,Young_Aging_Macro_108_1,Young_Aging_Macro_109_1,Young_Aging_Macro_110_1,Young_Aging_Macro_111_1,Young_Aging_Macro_112_1,Young_Aging_Macro_113_1,Young_Aging_Macro_114_1,Young_Aging_Macro_115_1,Young_Aging_Macro_116_1,Young_Aging_Macro_117_1,Young_Aging_Macro_118_1,Young_Aging_Macro_119_1,Young_Aging_Macro_120_1
Q3UHD1|AGRB1_MOUSE,Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-120 (Vstat120); Vasculostatin-40 (Vstat-40)],Adgrb1,6,1,178646,0,0,0,115338,118533,130662,120244,181236,151719,53249.3,52073,130695,0,75850.9,0,100934,121490,135232,126612,55029.9,90881.4,0,99977.2,93889.8,92840.4,76875.8,67432.5,83800.6,0,88886,75445.4,72090.9,67968.2,74361.6,57015.6,74674.6,124674,92796.7,92519,74449.3,79751.4
Q60994|ADIPO_MOUSE,"Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipocyte-specific protein AdipoQ)",Adipoq,16,2,33759.6,38945.4,35778.6,42375.8,17857.7,28959.3,21365.9,35077.2,26294.9,39750.3,53257.8,40161.6,36397.7,20046.9,24824.8,22591.1,19543.7,23746.6,27011.6,20813.6,10238.2,31931.8,46823.3,34685.8,56962.6,55545.4,34505.9,48629.2,44307.7,24404.6,36987.6,46908.8,48660.4,54685.5,55130.5,49247.6,37103.1,39197.3,36523.5,40866.4,50658.1,47350.8
O89020|AFAM_MOUSE,Afamin (Alpha-albumin) (Alpha-Alb),Afm,69,9,1.25E+06,1.19E+06,1.20E+06,1.14E+06,927619,809481,773245,965705,861060,1.04E+06,1.46E+06,1.36E+06,926963,1.51E+06,1.10E+06,1.05E+06,1.05E+06,949098,803076,840159,380222,1.11E+06,1.15E+06,1.04E+06,988604,690221,920442,1.15E+06,1.20E+06,939385,1.07E+06,984299,906801,915722,952426,1.17E+06,1.04E+06,831928,1.26E+06,1.08E+06,1.19E+06,1.21E+06
A2AS89|SPEB_MOUSE,"Agmatinase, mitochondrial (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)",Agmat,6,1,192537,312133,303997,262737,218683,167740,134866,186421,101177,173057,391361,291861,147104,323333,242434,272911,227669,166896,166184,158233,178901,145817,301940,263962,221018,111509,192394,209115,193897,0,289711,227190,226399,223885,177387,312118,234270,170725,151444,133539,201734,206748
P11859|ANGT_MOUSE,Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4],Agt,6,1,17558.7,17314,18966.4,18290.9,29888.6,51978.2,46869,12301.2,21522.4,33363.7,16293.9,24437.6,18281.1,19043.1,16721.6,19060.9,33321.5,38114.5,38564.9,25478.2,31785,29175.7,17798.2,16592.3,23231.8,14518.5,16682.9,22756.9,18163,19013.2,17114.5,19923.4,19805.1,17507.3,21554.7,17295.9,17323.2,10522.9,14233.2,18625.2,17075.7,19614.4
P29699|FETUA_MOUSE,Alpha-2-HS-glycoprotein (Countertrypin) (Fetuin-A),Ahsg,55,10,5.29E+06,5.29E+06,6.47E+06,5.49E+06,6.31E+06,5.19E+06,5.73E+06,5.34E+06,4.61E+06,4.75E+06,5.69E+06,6.61E+06,4.73E+06,7.45E+06,5.96E+06,6.03E+06,5.90E+06,6.27E+06,4.94E+06,5.53E+06,5.13E+06,6.17E+06,5.51E+06,5.40E+06,4.71E+06,2.97E+06,4.70E+06,4.73E+06,4.90E+06,5.20E+06,5.23E+06,4.57E+06,4.34E+06,4.14E+06,4.72E+06,5.54E+06,5.51E+06,4.22E+06,5.54E+06,5.50E+06,5.72E+06,6.01E+06
Q9R0L7|AKP8L_MOUSE,A-kinase anchor protein 8-like (AKAP8-like protein) (Neighbor of A-kinase-anchoring protein 95) (Neighbor of AKAP95),Akap8l,5,1,119926,70760.1,89955.9,98343.8,53237.7,44067.9,62978.9,69791,58177.7,70217.9,88930.4,70581.7,72819.2,107924,100831,73551.8,77804.9,64829.5,59550.7,59236.9,63742.5,48340.7,100664,97164.4,89503.1,51849.4,124417,146519,123524,0,96606.5,92387.1,78106.6,85465.4,82603.3,115663,92391.1,72653,104355,80442.3,83648.3,61750.1
Q70FJ1|AKAP9_MOUSE,A-kinase anchor protein 9 (AKAP-9) (Protein kinase A-anchoring protein 9) (PRKA9),Akap9,5,1,25792,15626,0,0,19391.2,10449.9,20403.2,0,0,14654.3,20047.5,0,15027,30312.7,11976,19138.2,18292.7,14231.6,13537.5,13148.1,35619,11763.7,16752.7,0,0,0,15313,11902,17684.7,13167.5,0,12137.1,0,0,7279.68,0,12204.6,10163.7,0,11216.2,0,0
P07724|ALBU_MOUSE,Albumin,Alb,456,68,3.49E+08,3.48E+08,3.33E+08,3.54E+08,2.36E+08,2.99E+08,2.61E+08,3.26E+08,2.28E+08,3.33E+08,3.51E+08,3.43E+08,3.40E+08,3.77E+08,3.56E+08,3.57E+08,3.04E+08,2.87E+08,2.77E+08,2.88E+08,2.83E+08,3.68E+08,3.73E+08,3.56E+08,4.07E+08,3.25E+08,3.85E+08,4.19E+08,3.71E+08,3.25E+08,3.59E+08,3.77E+08,4.09E+08,4.01E+08,4.00E+08,4.34E+08,3.75E+08,3.12E+08,3.79E+08,3.70E+08,3.73E+08,3.50E+08
Q07456|AMBP_MOUSE,Protein AMBP [Cleaved into: Alpha-1-microglobulin; Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (HI-30); Trypstatin],Ambp,54,10,420845,395031,422525,394473,816212,706348,972198,478488,486125,741157,365024,474074,449595,502650,470398,458477,761588,791140,682055,796049,804061,713324,352304,357242,347109,320177,382388,380312,375490,350333,349896,359004,390024,424463,363749,396034,454115,320514,393262,442246,348205,372761
Q9D4H4|AMOL1_MOUSE,Angiomotin-like protein 1 (junction-enriched and -associated protein) (JEAP),Amotl1,6,1,24283.4,72589.8,18835.6,18923.4,17669.3,17753.1,21470.9,22557.5,22472.3,19383.9,18531.6,14955,22166.2,41110.6,24514,19571.1,19514.1,15511.9,18532.3,19460.2,17256.6,19142.8,23445.6,21339.6,27855.9,21892.6,31699.8,27523.2,25376,22962.3,48407,32136,25951.8,36236.7,23067.4,26161.3,23792.1,27736.1,32467.5,22265,23345.1,19394.6
P00687|AMY1_MOUSE,"Alpha-amylase 1 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary and hepatic alpha-amylase)",Amy1,5,1,23518.4,37364.3,36401.8,31086.1,36650.2,29235,40934.5,27123,34692.8,28192.2,42368.8,45827.3,23435.8,30913.3,38063.9,29432.7,39967.9,40263.2,31963.7,25843.6,56048,27928.2,26621.3,25875.8,25069.7,13880.5,21976.5,21471.5,28129.4,23654.1,23835.6,23182.3,23773,20928.5,26206.2,27621.1,29459.9,19710.8,29435,27733.7,29093.2,31323.3
Q02357|ANK1_MOUSE,Ankyrin-1 (ANK-1) (Erythrocyte ankyrin),Ank1,6,1,216648,215500,218608,240496,150633,152537,157308,192358,144608,158971,220589,199972,187502,239581,222820,248981,179453,154441,161298,163265,175472,176388,251689,228648,238474,144621,213438,255187,229387,0,244004,192454,184693,187735,198802,234992,200767,152313,186083,170312,198310,194590
Q8C8R3|ANK2_MOUSE,Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin),Ank2,6,1,21267,28307.6,43857.4,26742.2,86063.2,83414.5,86667.4,33717.7,43490.3,41798.6,26070.7,24019.5,22785.7,34037.7,27352.7,41543.2,58026,62124.9,99675.8,75081.2,0,27326.7,25292.1,22670.8,21818.4,14482,22437.9,18451.3,19950.6,0,20164.8,21783.9,21326.3,13511.7,23309,19078.7,26188,17112.4,21198.7,22553.5,24146.2,28869.3
E9Q4F7|ANR11_MOUSE,Ankyrin repeat domain-containing protein 11,Ankrd11,5,1,35325.6,0,0,13473.3,9178.6,11548.6,7982.69,10835.6,10429.4,10466.3,8711.52,5429.13,11432.2,12380.3,12075.5,13006.9,10103.3,9099.26,10894.4,10875.8,7654.08,7599.5,0,12453.2,0,12561.3,11970.4,8681.8,12391.7,0,12272.8,12908.5,0,11336.6,13183.5,11473.3,12258.5,10882.9,10587.5,9613.24,9991.91,9627.43
P10107|ANXA1_MOUSE,Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35),Anxa1,6,1,0,136135,106913,114668,94321.2,67657.8,45719.1,103079,69704.6,40823.4,122539,142183,90977.2,7895.91,61379.9,103139,58114.4,118966,59675.8,109953,26323,73479.1,94458.9,77533.3,85059.5,34340.3,7797.3,0,62924.1,106760,81183.1,68927.9,60965.7,7868.6,84525,0,103196,76181,84354.7,114742,113845,159927
Q80V94|AP4E1_MOUSE,AP-4 complex subunit epsilon-1 (AP-4 adaptor complex subunit epsilon) (Adaptor-related protein complex 4 subunit epsilon-1) (Epsilon subunit of AP-4) (Epsilon-adaptin),Ap4e1,6,1,179082,254539,292304,263661,286203,223689,141850,275367,179513,158648,221215,220160,227465,278940,239056,244885,253040,233680,206101,248323,87994.1,217899,262195,261735,222958,128497,243131,189779,178763,0,218291,179655,215953,178308,208135,231028,256501,167986,165434,180771,195093,230850
P12246|SAMP_MOUSE,Serum amyloid P-component (SAP),Apcs,28,5,123268,140109,177941,141016,696992,749058,853518,361863,558300,592324,99804.8,150866,177139,136127,152876,282791,532733,724633,906128,1.14E+06,651337,423205,143166,141977,107908,263617,130961,143199,99055.7,52638.8,134931,96611.7,119333,156014,148733,133795,211707,202647,163821,137456,162968,155650
Q00623|APOA1_MOUSE,Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I],Apoa1,153,23,2.77E+07,2.58E+07,2.93E+07,2.63E+07,2.82E+07,3.26E+07,2.36E+07,3.82E+07,3.32E+07,3.16E+07,2.11E+07,2.56E+07,3.52E+07,2.16E+07,2.74E+07,2.55E+07,2.90E+07,3.68E+07,3.41E+07,3.74E+07,1.38E+07,3.04E+07,2.69E+07,2.88E+07,3.33E+07,2.70E+07,2.89E+07,2.44E+07,2.48E+07,2.59E+07,2.95E+07,2.77E+07,2.77E+07,2.51E+07,2.81E+07,2.49E+07,3.30E+07,3.19E+07,2.59E+07,2.88E+07,2.33E+07,2.59E+07
P09813|APOA2_MOUSE,Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II)],Apoa2,6,1,381420,855692,832199,921588,659111,513472,602572,985704,823976,775877,731595,546367,1.01E+06,537706,706760,756074,1.22E+06,784961,813087,859932,158549,517355,357935,412686,327893,317450,489364,399143,607430,852381,532795,244295,268498,441635,824639,557080,1.12E+06,327042,0,484016,596906,301733
P06728|APOA4_MOUSE,Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),Apoa4,159,24,3.40E+06,3.03E+06,3.44E+06,3.42E+06,3.93E+06,3.83E+06,4.94E+06,3.06E+06,4.47E+06,2.83E+06,2.33E+06,2.62E+06,2.79E+06,3.40E+06,4.06E+06,4.20E+06,4.00E+06,3.38E+06,3.96E+06,2.96E+06,4.31E+06,3.99E+06,3.20E+06,2.77E+06,3.55E+06,1.56E+06,2.77E+06,2.53E+06,2.71E+06,2.68E+06,2.44E+06,2.27E+06,2.16E+06,2.42E+06,3.10E+06,2.58E+06,2.50E+06,2.17E+06,2.24E+06,2.64E+06,2.47E+06,3.01E+06
E9Q414|APOB_MOUSE,Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)],Apob,123,21,515598,531335,618288,480131,823817,755233,874581,822022,957554,620696,323645,425219,623774,444049,505843,367418,712040,816512,821052,915469,608507,722643,656702,608087,576941,414785,463575,429636,426894,378329,425619,410514,435820,586038,625138,444249,501231,493082,512770,427665,446856,520406
P34928|APOC1_MOUSE,Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I],Apoc1,6,1,58430.5,58933.3,71437.5,62792.7,69793.5,95283.2,45713.4,95248,89476.7,47342.1,38809.5,24414,75199.8,38419,54666.9,57048.9,88279.8,55192.4,127214,95915,4626.03,42547.8,43898.7,40529.1,68428.5,71861.9,71582.4,68932.1,54671.6,68254.6,45234.3,38133.9,75298.9,66840.2,87582.9,72584.2,67084.8,56052,32806.8,28544.6,35041.1,38343.2
P33622|APOC3_MOUSE,Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3),Apoc3,16,2,100412,292721,316744,265178,252881,301958,249302,330993,125980,289112,240527,251474,311547,172446,295713,299273,386284,273787,316133,320468,30271.4,364770,159481,171597,186639,148823,197231,159396,236433,237827,198390,154952,194787,277752,354743,247302,346081,106310,165430,229148,212250,231512
P08226|APOE_MOUSE,Apolipoprotein E (Apo-E),Apoe,125,19,3.16E+06,3.06E+06,4.25E+06,3.47E+06,4.92E+06,4.13E+06,2.91E+06,4.04E+06,4.27E+06,3.19E+06,3.33E+06,3.47E+06,4.53E+06,3.14E+06,3.19E+06,2.33E+06,4.36E+06,4.91E+06,5.35E+06,5.30E+06,3.15E+06,3.84E+06,3.64E+06,3.74E+06,4.07E+06,3.15E+06,4.37E+06,4.38E+06,3.71E+06,3.53E+06,4.51E+06,4.44E+06,3.93E+06,3.69E+06,3.88E+06,4.19E+06,5.32E+06,3.06E+06,3.95E+06,3.96E+06,4.18E+06,3.88E+06
Q01339|APOH_MOUSE,Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI),Apoh,82,13,1.07E+06,1.04E+06,1.09E+06,1.11E+06,1.26E+06,1.01E+06,1.13E+06,1.05E+06,1.18E+06,1.21E+06,980217,1.23E+06,1.31E+06,1.16E+06,1.22E+06,1.05E+06,1.28E+06,1.39E+06,959336,1.14E+06,914474,1.23E+06,923859,946091,892207,614564,851910,971899,1.09E+06,803457,1.03E+06,1.01E+06,816942,805026,760642,873514,1.09E+06,787503,1.26E+06,1.27E+06,1.20E+06,1.05E+06
Q9Z1R3|APOM_MOUSE,Apolipoprotein M (Apo-M) (ApoM),Apom,12,2,22496.1,18387,28652.8,19752.2,29513.2,43396.2,31542.9,32363.2,13184.4,56609.4,11077.7,17481.1,58757.4,32664.3,25626.8,20885.6,28593,44000.2,35682.9,39660.1,9136.46,40003.3,33529.1,34455,31992.4,34522,39440.8,32087.2,25692.7,31727.8,32749.5,32449,29513.1,33129.2,25130.4,24660.9,33018.8,26615.7,27818.4,32227.5,22515.9,21796
Q8CHG5|AREL1_MOUSE,Apoptosis-resistant E3 ubiquitin protein ligase 1 (EC 2.3.2.26) (Apoptosis-resistant HECT-type E3 ubiquitin transferase 1),Arel1,6,1,28949.4,20099.6,17543.5,23243.3,20361.5,24137.6,29792.9,37449.2,42031.7,28809.2,8476.41,12807.7,36242.3,12953.3,22735.8,21158.7,20131.9,32289.2,22163.9,31918.2,8050.85,27187.6,23732.9,27287.4,24698.5,26429.4,21091.5,16808.9,19910.2,0,22029.9,23370.2,19625.5,19316,18965,11371.4,19628.2,36102.9,25834.6,30250.7,25166.7,20191.6
Q8CGF1|RHG29_MOUSE,Rho GTPase-activating protein 29 (Rho-type GTPase-activating protein 29),Arhgap29,6,1,40235.1,53776.1,72646.7,61400.7,228815,539238,298563,140681,127600,284305,23090.2,46450.4,126804,2829.06,66050.1,119198,214896,249250,401930,311765,271646,169532,64464.9,71456.2,93482.3,281152,110995,59631.7,50393.3,72508.3,69542,90528.7,134999,134764,103783,68225,113028,184744,58532.7,105151,73081,65153.7
Q640N3|RHG30_MOUSE,Rho GTPase-activating protein 30 (Rho-type GTPase-activating protein 30),Arhgap30,6,1,9613.11,18775.7,20422.9,16041.2,24117.9,28447.9,28059.5,17274.3,12308.7,13967.5,22089,23749.7,9482.93,22059.7,19522.7,25896.5,25570,22040.4,28508.4,21498.8,42223.9,15139.7,15150.1,12424.7,16053,8956.29,16587.5,17298.4,12409.3,0,13036.1,14137.6,16346.8,16195.6,19084.7,23455.7,19647.6,7624.76,12136.3,12629.5,13455.1,16475
B2RQE8|RHG42_MOUSE,Rho GTPase-activating protein 42 (Rho-type GTPase-activating protein 42),Arhgap42,6,1,54509.8,31024.6,31164,38182.2,31705.1,70707.5,31950.1,52419.3,104746,62951.7,17604.7,17633.2,55739.2,36536.7,29507.6,35094.6,42442,39262.9,57354.3,48063.6,0,34339.1,44186.2,38805.2,59309.5,70005.4,51318.5,38578.6,27364.9,0,43195.5,35741.2,47299.8,44418.4,42982.5,36077.7,36659.7,72840.7,23887.9,27984.1,24632.5,24331.2
Q61210|ARHG1_MOUSE,Rho guanine nucleotide exchange factor 1 (Lbc's second cousin) (Lymphoid blast crisis-like 2),Arhgef1,5,1,151822,131699,173581,205061,108125,152250,139154,168780,65967.9,243172,141069,159194,207476,185581,238966,175128,182215,152298,142452,136213,149374,191605,206070,221360,228049,199899,324557,364162,273593,0,231981,216390,220616,310443,211850,314316,211534,141841,220566,220484,197755,134970
Q91X46|ARHG3_MOUSE,Rho guanine nucleotide exchange factor 3,Arhgef3,6,1,13481.3,9607.17,11483.9,11391.7,9268.73,12715.5,12394.5,16402.3,16922.5,12708.8,4813.74,6367.86,12146.9,11803.7,13532.7,10599.7,15768.2,13240.6,12584.2,16247.7,4562.87,8386.39,11946.6,11829.6,11825.9,9388.85,15032.7,13388.8,12888.5,0,11491.3,9760.44,11390.5,13395.9,11954.7,12484.2,15779.8,11253.8,12806.7,10920.5,10180.2,7978.83
O88848|ARL6_MOUSE,ADP-ribosylation factor-like protein 6,Arl6,6,1,16195.4,9732.07,13175.3,11561.5,30294.6,5755.12,23774.6,0,31647.5,0,620.16,993.87,17736,2101.2,17963.8,11886.5,20969.4,6790.89,25680.5,12741.3,10670.9,245.52,0,0,0,0,19595.4,15487.1,13859.6,0,0,13663.1,11578.9,480.17,0,0,0,13259.3,0,6833.04,3614.66,9803.05
P50429|ARSB_MOUSE,Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S),Arsb,6,1,118620,44935.4,48061.7,47555.1,139605,183752,234119,81977.8,213677,133807,11542.9,11865.1,80532.9,48466.5,53387.7,75989,120571,124873,218275,161856,201414,63243.2,42250.3,49626.3,51246,71589.5,67224,47209.8,43100.1,0,49775.4,49287.9,51807.3,54362.5,46840.3,46071.5,56461.6,97105.8,51089.9,42665,37612.2,38849.8
Q8VHA6|ASB18_MOUSE,Ankyrin repeat and SOCS box protein 18 (ASB-18),Asb18,3,1,0,1830.49,1917.79,5834.49,3699.72,22431.9,3974.58,45127.3,132.65,83578.6,0,259.62,4395.79,518.92,0,0,1366.06,16624.7,1295.53,4052.09,5921.61,22639.4,19572,68070.8,5033.78,23625.5,5165.41,622.02,3558.5,0,47176.8,4483.01,1040.7,90604.3,50897,23039.6,2515.12,6917.8,12151.1,5719.5,5338.21,2575.47
Q64430|ATP7A_MOUSE,Copper-transporting ATPase 1 (EC 7.2.2.8) (Copper pump 1) (Menkes disease-associated protein homolog),Atp7a,6,1,23351.3,14424,9763.16,18268.6,24286.1,75757.1,12194.2,54314.2,36281.4,44597.5,1179.62,14077.5,67979.9,11240,25239.7,22251.6,29466.8,40350.3,29655.6,49818.1,4090.91,81539.5,26806.1,28450.7,42100,191119,58487,21816.6,17805.3,0,29724.8,40802.5,67912.8,70391.6,51802.9,28578.3,42226.6,107709,23320.9,45564.7,29067.6,20907.7
Q8R4I1|ATX7_MOUSE,Ataxin-7 (Spinocerebellar ataxia type 7 protein homolog),Atxn7,5,1,369222,286281,241512,319634,206081,263896,155370,280946,295042,203100,172328,148827,302427,280157,302400,310317,262812,221401,204331,180384,58152,247877,309061,244552,353519,254527,225202,270459,250917,0,272617,275481,309751,309214,267859,277541,132557,263842,217399,210651,193284,222972
